Rollno,ENGT15,TELT11A,AIMLT11,AIMLT12,STAT14,MATT17,AIMLP11,STAP14,LSCT04,LSCT11,SDCCSCP08
216201p,81,75,53,68,48,65,36,49,25,34,45
216202p,72,74,84,80,69,84,48,44,26,38,43
216203p,69,60,38,54,44,66,43,36,23,39,40
216204p,65,76,51,79,61,53,28,44,24,37,40
216205p,53,43,18,49,39,52,41,41,23,36,37
216206p,71,55,44,45,50,72,41,44,23,40,31
216207p,47,71,43,56,22,43,44,39,20,39,34
216208p,42,17,18,35,16,24,27,43,15,26,36
216209p,72,63,49,68,55,26,45,44,25,38,38
216210p,61,53,42,61,43,50,29,42,24,36,33
216211p,63,67,43,58,48,61,34,43,24,39,32
216212p,43,29,9,26,28,13,4,9,13,36,8
216213p,71,80,53,77,62,73,43,44,19,39,41
216214p,75,78,54,75,63,61,43,35,24,39,41
216215p,70,64,51,71,62,72,38,50,19,36,40
216216p,75,78,64,76,65,83,29,49,24,39,41
216217p,53,59,66,48,50,65,42,45,24,31,30
216218p,56,41,33,78,58,33,17,49,24,37,36
216219p,47,73,43,59,49,38,19,47,20,37,40
216220p,62,57,28,60,44,33,34,48,19,38,37
216221p,62,50,57,53,52,48,38,47,27,38,34
216223p,73,82,60,71,61,62,36,47,28,39,39
216261p,60,89,47,62,54,69,41,42,23,33,38
216262p,46,48,38,48,36,46,37,47,16,36,36
216263p,58,68,55,69,60,40,38,47,26,38,35
216264p,43,45,35,43,40,18,36,46,13,29,35
216265p,74,91,53,76,75,97,48,49,34,40,41
216266p,72,82,47,65,51,58,33,44,26,31,38
216267p,73,90,74,66,58,75,48,48,26,38,40
216268p,72,61,54,67,55,62,44,49,27,40,40
216269p,66,76,59,75,55,80,47,49,25,39,36
216270p,67,91,76,73,57,66,48,47,24,38,42
216271p,61,53,43,64,47,32,42,55,24,38,33
216272p,58,63,57,54,48,48,25,45,25,33,34
216273p,63,80,43,60,56,51,44,46,18,39,36
216274p,41,14,10,9,0,0,29,30,0,4,8
216275p,70,70,51,75,55,39,43,49,17,31,41
216276p,68,76,17,17,16,17,29,27,25,35,38
